hidden,batch,eta,epochs,threads,wall_s,s_per_epoch,correct,total,accuracy
10,10,3.0,3,1,2.449,0.816,8841,10000,0.8841
30,10,3.0,3,1,6.662,2.221,8440,10000,0.8440
50,10,3.0,3,1,11.008,3.669,9382,10000,0.9382
100,10,3.0,3,1,21.979,7.326,7648,10000,0.7648
200,10,3.0,3,1,43.798,14.599,4386,10000,0.4386
30,1,3.0,3,1,9.696,3.232,8267,10000,0.8267
30,5,3.0,3,1,6.995,2.332,9276,10000,0.9276
30,10,3.0,3,1,6.659,2.220,8440,10000,0.8440
30,25,3.0,3,1,6.462,2.154,8314,10000,0.8314
30,50,3.0,3,1,6.385,2.128,8160,10000,0.8160
30,100,3.0,3,1,6.364,2.121,7912,10000,0.7912
30,10,3.0,3,1,6.676,2.225,8440,10000,0.8440
30,10,3.0,3,1,6.676,2.225,8440,10000,0.8440
30,10,3.0,3,1,6.692,2.231,8440,10000,0.8440
30,10,3.0,3,1,6.650,2.217,8440,10000,0.8440
30,10,3.0,3,1,6.686,2.229,8440,10000,0.8440
10,1,3.0,3,1,3.183,1.061,8480,10000,0.8480
10,10,3.0,3,1,2.343,0.781,8841,10000,0.8841
10,50,3.0,3,1,2.270,0.757,8367,10000,0.8367
10,100,3.0,3,1,2.260,0.753,7897,10000,0.7897
30,1,3.0,3,1,9.724,3.241,8267,10000,0.8267
30,10,3.0,3,1,6.657,2.219,8440,10000,0.8440
30,50,3.0,3,1,6.374,2.125,8160,10000,0.8160
30,100,3.0,3,1,6.381,2.127,7912,10000,0.7912
50,1,3.0,3,1,16.555,5.518,7372,10000,0.7372
50,10,3.0,3,1,11.005,3.668,9382,10000,0.9382
50,50,3.0,3,1,10.570,3.523,8182,10000,0.8182
50,100,3.0,3,1,10.441,3.480,7907,10000,0.7907
100,1,3.0,3,1,33.098,11.033,5163,10000,0.5163
100,10,3.0,3,1,21.943,7.314,7648,10000,0.7648
100,50,3.0,3,1,20.980,6.993,7451,10000,0.7451
100,100,3.0,3,1,20.785,6.928,7294,10000,0.7294
200,1,3.0,3,1,65.886,21.962,2122,10000,0.2122
200,10,3.0,3,1,43.753,14.584,4386,10000,0.4386
200,50,3.0,3,1,41.685,13.895,4049,10000,0.4049
200,100,3.0,3,1,41.507,13.836,3990,10000,0.3990
