hidden,batch,eta,epochs,threads,wall_s,s_per_epoch,correct,total,accuracy
10,10,3.0,3,1,4.338,1.446,8837,10000,0.8837
30,10,3.0,3,1,12.068,4.023,8445,10000,0.8445
50,10,3.0,3,1,19.811,6.604,9382,10000,0.9382
100,10,3.0,3,1,39.230,13.077,7638,10000,0.7638
200,10,3.0,3,1,77.702,25.901,4257,10000,0.4257
30,1,3.0,3,1,18.366,6.122,8241,10000,0.8241
30,5,3.0,3,1,12.746,4.249,9206,10000,0.9206
30,10,3.0,3,1,12.080,4.027,8445,10000,0.8445
30,25,3.0,3,1,11.652,3.884,8314,10000,0.8314
30,50,3.0,3,1,11.678,3.893,8160,10000,0.8160
30,100,3.0,3,1,11.606,3.869,7912,10000,0.7912
